	TNBC1	TNBC2	TNBC3	TNBC4	TNBC5	TNBC6	NonTNBC1	NonTNBC2	NonTNBC3	NonTNBC4	NonTNBC5	NonTNBC6	HER2_1	HER2_2	HER2_3	HER2_4	HER2_5	NBS1	NBS2	NBS3
SLC45A1	19.0814600514262	15.9460099320403	36.0179953241768	14.2799269389922	17.9517080525625	16.631750227127	6.95155726815707	51.4431526382849	16.2369960501605	23.6391639831626	19.8244103864312	72.4730410094185	4.63323046541761	5.51938033629022	4.48389626768906	7.98313731470937	21.6635723752484	19.7578402311369	27.8851233650184	34.6749326531296
RFWD2	644.699977830771	800.611531364154	661.672845116136	531.090416981439	705.060941116431	623.865124434754	662.163907426177	516.102193287102	639.161246336134	832.743198511842	567.36921684393	597.430204285492	834.220853402439	1299.86990864981	934.684199740667	985.622361374021	906.064470035879	452.202102857076	411.229899621401	349.837763893958
C1orf21	180.91052751169	303.656701123815	851.937286377497	180.279013676395	692.629688544552	1033.89795731555	991.663759817782	628.629226095584	1129.43400159718	867.194100225351	1522.50343079894	498.846699444915	450.309500889978	377.916320046604	414.422357099101	825.010203135706	540.319238993983	2437.49135542821	1327.17824047099	2101.36599176251
LIN9	574.182283630209	314.866208572846	144.573780829125	247.785308949605	198.769927279896	294.395927339923	281.264242264124	110.616850925504	120.207086745373	109.274262528169	106.580388689114	161.198195365938	378.855968403432	620.15510607176	255.324427541301	228.650276459525	279.958227065853	35.9808371877957	47.8171975839113	49.3537494506477
C1orf159	40.7792121131376	79.4665521432114	32.5161957917592	48.586404864722	46.2045548068334	64.7294432336717	56.7282180563799	95.0958808829546	69.1183352830705	51.1998853539692	55.8363259082996	81.099097682969	44.5987655850113	49.8093076319344	63.710132818403	58.2617259806168	87.7870039760432	187.057496346682	150.258788336826	117.998804474335
ICMT	822.802359337319	1155.57926725011	828.591956161379	1150.82034080107	1455.45655090987	1826.30744959837	1289.78267388638	2011.93568113778	1297.04095814895	1085.71124823675	1365.36052670351	1747.16032948872	856.020236194945	918.434208266915	1360.88084315463	1473.04534594074	1817.32801178433	393.900707544083	469.635512448855	394.737674098131
MACF1	6472.35455240542	4447.43795478198	4884.84308121186	5747.88838284887	6465.25133737718	6039.66535697168	5502.94416908084	4755.26713615835	5166.34166100441	6734.67481777457	8580.83887308514	3680.62931817455	9689.61457444696	19475.0098690746	7866.47647368599	6028.84413005713	4168.8425480876	1951.30841538334	2730.76709476885	3011.88436311444
SFPQ	2243.10104637684	1824.41321170891	1853.45195264895	1558.07143359684	1867.94811352222	1874.40514260491	2073.22403064014	1803.37264619103	1962.09102104419	1442.03200310217	1481.58079952409	1720.04986565757	2235.43673623183	2149.51341187237	2308.50062796605	2639.2292774972	1236.68162803985	6178.41305990277	5650.12066292205	8733.1690749
TRABD2B	37.1629201028523	4.73650248301007	86.2104552888303	13.1732663607428	47.3346686770043	31.0610581290904	8.57470925038173	35.9221825957357	44.0221064945708	40.3724591011523	48.4702522788265	45.3625771782598	30.0658437233409	11.8465128070965	4.48389626768906	9.37976477765124	23.7299296127732	113.547041386821	78.4106138268633	218.160142622105
RNF220	196.279768555403	255.082168844685	136.402915253484	349.598082148545	286.918809153222	285.978831063777	242.308594690732	212.473216829733	184.74024648723	189.003492208002	225.25601938618	230.206648754342	163.284294121987	132.062029752416	168.227020849075	183.958197645385	174.574007952086	333.064468956612	361.167945769298	304.937853689786
TCEANC2	169.157578478263	172.879114218463	158.580978958796	137.11925112467	171.647194395796	181.366348774543	212.009757689205	178.521094861657	204.458711963908	132.89773798886	194.973272242791	163.662782986952	143.907064973093	160.986063904674	146.162344487044	186.751452571269	129.11414872654	49.1620222150811	42.254758267011	43.3095307693167
CACHD1	123.953928349698	94.4125620752517	106.053985972531	133.799269389922	202.160268890409	141.685752044143	68.631332592694	97.0360021382732	161.436605469337	202.783852893406	128.678609577533	106.977267703621	217.782751103251	141.100790424997	107.839485542464	84.7976477765124	96.0524329261426	449.667259582598	693.060158344352	1164.94382606202
CLCA4	10.0407300257131	1	20.8435306837002	2.10666057824935	15.6914803122209	5.80976930065447	1	2.94012125531865	2.79258777060712	6.90586886517285	1.81845262549701	3.46458762101443	8.26646093083522	1.90387606725804	1	3.79325492588375	1	46.6271789406032	35.7652457306272	30.3576335950361
NTNG1	36.258847100281	12.2095074490302	32.5161957917592	36.4131385039792	8.91079709119585	23.8464041781087	6.41050660741552	13.6107881595712	10.8592327383392	79.7449182023046	10.8214315059641	9.62605667355051	17.9550755052822	19.9813974124189	13.7742863148599	12.173019703535	9.26542895009935	3.02787461958236	1.92707321948339	2.29518971742806
KCNA2	16.3692410437122	4.73650248301007	26.6798632377297	9.8532846259948	11.1710248315375	29.8586158039268	6.41050660741552	5.85030313829663	9.96293885303559	9.85880329775927	6.72916837847906	10.8583504840577	11.8996913962528	23.5969016814511	32.3550664092015	12.173019703535	27.8626440878229	1.50696865489559	1.92707321948339	1.86345981161871
NBPF10	226.114177640256	154.196601803413	248.46050029085	161.465783846156	250.755165307755	184.973675750033	136.80371584613	205.682792436118	238.517879605443	293.340508826056	176.967314481857	116.835618187678	288.025206767991	690.657439317888	395.84157700476	394.848944549608	236.564725077832	35.4738685329002	58.0150029982286	59.2835372842628
MROH9	27.2181170745679	8.47300496602014	58.1960590294888	9.8532846259948	6.65056935085418	13.0244232516362	5.86945594667397	15.5509094148899	9.96293885303559	23.6391639831626	11.6398841314611	9.62605667355051	82.1421470609933	187.198469855157	19.5807800943416	100.160549868873	13.398143425149	1.50696865489559	1	1.43172990580935
PTGS2	21.7936790591401	90.6760595922416	27.8471297485356	116.092700137932	63.156262859396	1107.24693915053	19.3957224652128	30.1018188297798	87.0442129891417	29.5450328483354	50.9256101553175	106.977267703621	102.730453031693	160.986063904674	35.8389626768906	72.2280006100356	31.9953585628726	1354.09933991633	1973.81181106066	1872.54914168355
BATF3	35.3547740977097	45.8380297961208	45.356127410624	38.6264596604779	21.342049663075	27.4537311535996	17.2315198222466	8.7604850212746	14.4444082795534	12.8117377303457	14.0952420079521	9.62605667355051	15.5329218616704	4.61550426903218	10.2903900471708	9.37976477765124	19.5972151377235	84.1428594028769	58.4785396079703	42.0143410518887
DNAH14	448.516136272797	438.170790512178	847.268220334274	529.983756403189	354.725641363472	270.34708083665	663.787059408401	554.904618393475	770.916447475757	680.174919494877	542.81563807902	267.175463069559	935.951306434132	585.807815515955	390.035083225278	679.760946989751	323.351729053875	80.0871101637121	110.39463989904	79.1431129514932
NUP133	914.113732597021	1364.82340629867	994.343800695816	700.409485453589	993.239978009994	902.831743872713	1204.83772014995	829.431776021064	671.427826207062	1007.95064151197	853.827635767883	999.157986510845	1845.46999961034	2087.14596323157	1084.4917392513	925.567380467521	1147.82826682629	525.205589162041	475.661488375497	524.688375746747
CDK11B	52.5321611465646	68.2570446941812	57.0287925186829	49.6930654429714	83.498312522471	43.0854813807266	42.6609008770995	92.1856989999766	93.3182701862666	55.1371312640844	55.0178732828026	53.9886338518103	62.7649179120994	68.7907050443533	49.7745477476468	54.0718435917912	23.7299296127732	260.060982651647	246.674403163099	261.333133203041
