	TNBC1	TNBC2	TNBC3	TNBC4	TNBC5	TNBC6	NonTNBC1	NonTNBC2	NonTNBC3	NonTNBC4	NonTNBC5	NonTNBC6	HER2_1	HER2_2	HER2_3	HER2_4	HER2_5	NBS1	NBS2	NBS3
AGBL4	26.3140440719966	12.2095074490302	41.8543278782063	15.3865875172415	19.0818219227334	21.4415195277815	22.6420264296621	35.9221825957357	26.9925226738032	34.4665902359795	23.9166735139162	34.2719328836948	8.26646093083522	2.80775213451609	9.12909129127446	27.5359217958956	11.3317861876242	7.08362385874709	5.17182948767527	4.02210934066548
DBT	464.789450319081	468.062810376258	598.640453532618	574.250179533163	520.852380278585	495.203795642247	336.451409659762	544.233951489222	521.746747361368	520.71646013521	582.919816728373	726.82105438875	335.25720281842	497.227960924666	276.227805147435	276.135610199549	457.664949492989	191.620214240742	196.612449310996	196.573647331638
LIN9	574.182283630209	314.866208572846	144.573780829125	247.785308949605	198.769927279896	294.395927339923	281.264242264124	110.616850925504	120.207086745373	109.274262528169	106.580388689114	161.198195365938	378.855968403432	620.15510607176	255.324427541301	228.650276459525	279.958227065853	35.9808371877957	47.8171975839113	49.3537494506477
C1orf159	40.7792121131376	79.4665521432114	32.5161957917592	48.586404864722	46.2045548068334	64.7294432336717	56.7282180563799	95.0958808829546	69.1183352830705	51.1998853539692	55.8363259082996	81.099097682969	44.5987655850113	49.8093076319344	63.710132818403	58.2617259806168	87.7870039760432	187.057496346682	150.258788336826	117.998804474335
CAMTA1	280.358557794534	554.00236748549	432.888608998181	273.23850224934	437.223953885943	549.313700274609	355.388182785717	659.671166180682	313.806565970942	230.344574264212	271.089366414013	297.982808332239	229.89351932131	165.505444240964	182.162605919831	186.751452571269	234.498367840307	865.888525251878	1035.61371294347	1798.29159788434
ICMT	822.802359337319	1155.57926725011	828.591956161379	1150.82034080107	1455.45655090987	1826.30744959837	1289.78267388638	2011.93568113778	1297.04095814895	1085.71124823675	1365.36052670351	1747.16032948872	856.020236194945	918.434208266915	1360.88084315463	1473.04534594074	1817.32801178433	393.900707544083	469.635512448855	394.737674098131
KHDRBS1	1236.86779451498	759.510004051044	689.687241375478	869.72855392574	815.812100393173	928.083032701149	754.14251975224	969.120506404007	1034.426849755	979.405608663635	889.021098664254	948.633940280049	1663.80847633946	2060.02968121382	1379.46162324897	1410.19711010835	866.803682522907	2031.91643151174	2209.28840880944	2138.0630337563
MACF1	6472.35455240542	4447.43795478198	4884.84308121186	5747.88838284887	6465.25133737718	6039.66535697168	5502.94416908084	4755.26713615835	5166.34166100441	6734.67481777457	8580.83887308514	3680.62931817455	9689.61457444696	19475.0098690746	7866.47647368599	6028.84413005713	4168.8425480876	1951.30841538334	2730.76709476885	3011.88436311444
CSMD2	201.70420657083	258.818671327695	379.19434950111	126.052645342177	100.450020575034	207.820079928142	54.5640154134137	116.43721469146	94.2145640715701	172.270197090013	91.848241430168	53.9886338518103	62.7649179120994	25.4046538159672	41.6454564563723	51.2785886659075	60.9243598882203	7.08362385874709	15.3696349019926	14.38362708009
SFPQ	2243.10104637684	1824.41321170891	1853.45195264895	1558.07143359684	1867.94811352222	1874.40514260491	2073.22403064014	1803.37264619103	1962.09102104419	1442.03200310217	1481.58079952409	1720.04986565757	2235.43673623183	2149.51341187237	2308.50062796605	2639.2292774972	1236.68162803985	6178.41305990277	5650.12066292205	8733.1690749
