GeneID	M	A	p.value	Adj.p.value
SGIP1	1.07246737097935	6.62525939503932	0.0706964242431739	0.173458011363943
AZIN2	-0.100352970709212	6.16705517532252	0.609155401643432	0.70694273460785
SLC45A1	-1.63141168259237	3.9624658654529	0.00866257425719448	0.047066384464711
NECAP2	0.336660138741352	9.02893089787221	0.107557653365938	0.22581203857398
CLIC4	-0.958076288075786	12.4782889368849	0.0974414258542341	0.211250850919992
AGBL4	1.12260004791621	3.00115031266127	0.220107816804087	0.359372219419249
TGFBR3	-1.94596975236702	10.0112447831355	0.0324941157009836	0.104747916387489
DBT	0.91867883292709	8.06619198560196	0.00798475797447305	0.0450808559962918
RFWD2	1.29460847568428	9.30702638620432	0.000281416832791611	0.00952506461581298
PRUNE	0.819286374969205	8.3092053170581	0.0540137886784025	0.144467672795846
C1orf21	-1.90641992830557	9.97999764335272	0.00365432058027281	0.0292252235203307
LIN9	2.98987739269925	6.96690414606961	8.34523817919089e-05	0.00643260329372522
C1orf159	-1.31896752968204	6.58627519532559	0.0037590286285854	0.0296070812834766
PRKCZ	-0.862130949477191	7.07650535936045	0.0258079737956154	0.0910222763987012
CAMTA1	-2.62612629756117	8.95520351672566	0.00956219675028588	0.0500768522711206
PRDM16	-0.506524652138798	4.59808907095238	0.261631912683651	0.405602219170953
ICMT	1.61544397914192	9.51998976777777	0.00081760970634332	0.0143610753202703
EPHB2	1.7625034851527	6.45160403625862	0.0799926694096268	0.186582882163399
PINK1	-0.883940261880928	7.43579931041445	0.0225661627776172	0.083856338285935
PINK1-AS	-0.550676341025715	6.21137491261918	0.0499297321656365	0.137425858220811
USP48	0.69019417066281	9.4167530490341	0.0638881067115687	0.161818136326156
EPB41	0.460652170571208	9.428871449906	0.190667389037195	0.327006708029775
STMN1	0.398221653334755	9.77482006189872	0.420630233273329	0.539740843701021
PUM1	-0.908321671447364	11.0588723302324	0.242420078313573	0.384268861963688
EYA3	0.0528666323375129	8.70398682599776	0.891217176654803	0.925725264533158
KHDRBS1	-0.526676881341695	10.7908742037735	0.0467547205692232	0.131849511234727
NUDC	-2.36545847790028	9.68040095030069	0.0322164457159803	0.104244721094991
MACF1	1.88090269594328	12.2649994373997	0.00756182167371625	0.0437139639814075
THRAP3	-0.0175743072895348	10.6582816621618	0.938645990212956	0.958918022269846
CSMD2	1.97892561109626	4.60757950208023	0.0110916597196703	0.0547271291682043
SFPQ	-1.69703708878391	11.8941910793236	0.00114387909916903	0.0167817374676032
GPBP1L1	0.0847642041754161	10.5224356077195	0.757923399999686	0.828083436085561
PTPRF	0.37038396099249	12.1693215263031	0.117389292443111	0.239993907523004
TRABD2B	-3.10386926192114	5.54299741159055	0.00276837924790334	0.0254414463938089
RNF220	-1.01837250877452	7.8704379830219	9.82959860291621e-05	0.00660074710628613
USP24	1.35467915784452	10.6002027341227	0.0112749243924521	0.0552062399505499
TCEANC2	1.77208089253152	6.37496576344019	4.34141177365032e-06	0.00266161899056424
FAF1	-0.458308254733682	9.46803432832132	0.129165203653548	0.256584645625999
SCP2	-0.0633294086694604	10.3046288154626	0.736332854481697	0.811669369013866
DAB1	-0.314417755126396	2.44955781202449	0.266010094108619	0.410395749871374
RAB3B	0.0946407674122627	5.39802714569497	0.688318972747327	0.772261087582486
FGGY	0.557657973084739	7.1232254466074	0.27075478201048	0.415364006739383
NFIA	1.19502420122285	10.3407052817558	0.198326976706973	0.334303712526643
ITGB3BP	1.80840122117913	6.48121798784929	0.0291091490518232	0.0976249444967176
USP1	0.614463283770724	9.6883843270787	0.105058760282034	0.222396996822591
CACHD1	-2.57028832304403	8.30211533147609	0.00777387542621572	0.0443226426039904
LEPR	-0.884161622484519	8.53761556685407	0.156060781419175	0.292294563654342
LRRC7	0.217144771459206	2.36964810378334	0.972951952071477	0.981491588589243
NEGR1	-0.516335347880391	7.13006861254405	0.275761751467474	0.420756149165578
ST6GALNAC3	-1.68750311187847	5.8873210128003	0.188905958246518	0.32478967695401
PIGK	0.261788554326773	8.92272836468575	0.0672209326371109	0.167403454239328
CLCA4	-3.557236563146	3.4534035865083	0.00154627327125481	0.0191633240171698
PKN2-AS1	1.03334732517367	1.96892072105681	0.317075445509342	0.465206402628534
DDAH1	-0.894366059270819	9.23953720037284	0.0133654735779386	0.0612605211893299
LRRC8C	-0.692078825225558	9.56489022760925	0.248158898411592	0.390735063328109
LOC102723661	0.312915317004962	0.156457658502481	0.373900966300059	0.49994333868571
GCLM	-0.412934067125185	8.26740351004959	0.277430184945761	0.422588966953923
FAM69A	0.186103154287875	7.7977763797185	0.611611258974002	0.708576110612855
LOC729970	-1.57699186231089	4.88408293552411	0.0652993729415499	0.164271275228789
NTNG1	2.59779637503158	2.57194405436205	0.000141155070195528	0.00755662606470586
RHOC	-0.957092930130702	10.7655153799892	0.0370221104832367	0.11346745112663
