GeneSymbol Status
SLC45A1 DN
C1orf21 DN
C1orf159 DN
SFPQ DN
TRABD2B DN
RNF220 DN
CACHD1 DN
CLCA4 DN
PTGS2 DN
BATF3 DN
CDK11B DN
FAM132A DN
PLEKHG5 DN
PEX14 DN
IFFO2 DN
CAPZB DN
ALPL DN
ECE1 DN
LDLRAD2 DN
RHCE DN
SH3BGRL3 DN
WASF2 DN
RCC1 DN
SRSF4 DN
MATN1-AS1 DN
RNF19B DN
PHC2 DN
STK40 DN
TIE1 DN
GLIS1 DN
C1orf168 DN
ERICH3 DN
LINC01461 DN
PALMD DN
KIAA1324 DN
GSTM1 DN
KCNC4 DN
CASQ2 DN
NGF DN
ATP1A1 DN
ENSA DN
TUFT1 DN
LMNA DN
PRCC DN
PFDN2 DN
LGR6 DN
ELF3 DN
CSRP1 DN
IRF6 DN
DUSP10 DN
PLD5 DN
WASH7P DN
RNF223 DN
TTLL10 DN
SCNN1D DN
DVL1 DN
ATAD3B DN
MIB2 DN
CDK11A DN
LOC100129534 DN
TP73-AS1 DN
RPL22 DN
PHF13 DN
KLHL21 DN
ERRFI1 DN
CA6 DN
ENO1 DN
SPSB1 DN
RBP7 DN
DFFA DN
SRM DN
TMEM51 DN
EFHD2 DN
SLC25A34 DN
PLEKHM2 DN
UQCRHL DN
CLCNKA DN
HSPB7 DN
EPHA2 DN
CROCC DN
NBL1 DN
KIF17 DN
ID3 DN
RPL11 DN
PITHD1 DN
RSRP1 DN
SEPN1 DN
CNKSR1 DN
ZNF593 DN
SFN DN
FAM46B DN
TRNP1 DN
SLC9A1 DN
WDTC1 DN
MAP3K6 DN
CD164L2 DN
GPR3 DN
STX12 DN
SESN2 DN
SNHG12 DN
TINAGL1 DN
TMEM39B DN
EIF3I DN
FAM167B DN
FAM229A DN
KIAA1522 DN
GJA4 DN
MAP7D1 DN
SH3D21 DN
ZC3H12A DN
MIR6732 DN
LINC01137 DN
DNALI1 DN
RSPO1 DN
POU3F1 DN
FHL3 DN
CITED4 DN
EDN2 DN
CLDN19 DN
YBX1 DN
C1orf210 DN
ARTN DN
BTBD19 DN
PLK3 DN
CCDC17 DN
MOB3C DN
ECHDC2 DN
MAGOH DN
MRPL37 DN
TACSTD2 DN
JUN DN
GADD45A DN
RPE65 DN
HHLA3 DN
GNG5 DN
CYR61 DN
GTF2B DN
RPL5 DN
DNTTIP2 DN
F3 DN
CNN3 DN
PRPF38B DN
SARS DN
GSTM4 DN
AMPD2 DN
GSTM2 DN
GSTM5 DN
CSF1 DN
LINC01397 DN
SLC16A4 DN
OVGP1 DN
LINC01160 DN
ITGA10 DN
ANKRD35 DN
SF3B4 DN
SV2A DN
MCL1 DN
BNIPL DN
PIP5K1A DN
SELENBP1 DN
CGN DN
TCHH DN
S100A2 DN
NPR1 DN
RAB13 DN
CRTC2 DN
TDRD10 DN
SHC1 DN
DCST2 DN
EFNA1 DN
YY1AP1 DN
SEMA4A DN
GLMP DN
CRABP2 DN
NES DN
PEAR1 DN
ETV3L DN
ACKR1 DN
TAGLN2 DN
PEA15 DN
C1orf226 DN
SELE DN
MYOC DN
KIAA0040 DN
QSOX1 DN
RGS16 DN
LAMC2 DN
LMOD1 DN
SHISA4 DN
PCAT6 DN
BTG2 DN
FMOD DN
SLC41A1 DN
DYRK3 DN
MAPKAPK2 DN
PIGR DN
C4BPA DN
CD55 DN
LAMB3 DN
CAMK1G DN
G0S2 DN
ATF3 DN
HLX DN
IBA57-AS1 DN
GJC2 DN
MAP1LC3C DN
ACYP2 DN
ATOH8 DN
TBC1D8 DN
TMBIM1 DN
DTNB DN
VIT DN
EPAS1 DN
LOC101927043 DN
ATP6V1B1 DN
TCF7L1 DN
CHMP3 DN
EIF2AK3 DN
ITPRIPL1 DN
C2orf40 DN
FHL2 DN
SEPT10 DN
TFCP2L1 DN
LOC150776 DN
LRP2 DN
UBE2E3 DN
INPP1 DN
FAM150B DN
GREB1 DN
OSR1 DN
RHOB DN
HADHA DN
C2orf70 DN
MAPRE3 DN
ZNF513 DN
PPM1G DN
FNDC4 DN
BRE-AS1 DN
SPDYA DN
ZFP36L2 DN
LINC01119 DN
GPR75 DN
MIR3682 DN
PNO1 DN
CNRIP1 DN
PCBP1 DN
ANKRD53 DN
RAB11FIP5 DN
EGR4 DN
ACTG2 DN
WBP1 DN
KCMF1 DN
SMYD1 DN
LOC654342 DN
ADRA2B DN
DUSP2 DN
ASTL DN
ARID5A DN
IL1RL2 DN
SULT1C4 DN
SOWAHC DN
WASH2P DN
GYPC DN
BIN1 DN
LIMS2 DN
HS6ST1 DN
LOC389033 DN
CCDC74B DN
TUBA3E DN
IMP4 DN
MZT2A DN
CCDC74A DN
RND3 DN
TNFAIP6 DN
NR4A2 DN
CD302 DN
HOXD9 DN
HOXD11 DN
HOXD1 DN
HOXD10 DN
COQ10B DN
RPL37A DN
AAMP DN
GLB1L DN
TUBA4A DN
DES DN
OBSL1 DN
SLC4A3 DN
NCL DN
PTMA DN
NPPC DN
EFHD1 DN
C2orf82 DN
PER2 DN
TWIST2 DN
HYAL3 DN
FHIT DN
FILIP1L DN
P3H2 DN
SH3BP5 DN
ZNF385D DN
LINC00693 DN
CMTM8 DN
CRTAP DN
CSRNP1 DN
MYRIP DN
RPL14 DN
COL7A1 DN
IP6K1 DN
FAM107A DN
DNASE1L3 DN
ADAMTS9 DN
CD200 DN
ROPN1B DN
LOC653712 DN
RAB7A DN
AMOTL2 DN
WWTR1 DN
SIAH2 DN
IQCG DN
BHLHE40 DN
LMCD1 DN
CAMK1 DN
TTLL3 DN
CRELD1 DN
TIMP4 DN
RPL32 DN
EIF1B DN
VIPR1 DN
CLEC3B DN
ALS2CL DN
PRSS50 DN
CCDC12 DN
SCAP DN
UCN2 DN
IP6K2 DN
IMPDH2 DN
LAMB2 DN
AMT DN
MST1 DN
AMIGO3 DN
GNAI2 DN
SEMA3B DN
IFRD2 DN
TMEM115 DN
RASSF1 DN
NAT6 DN
CISH DN
C3orf18 DN
MANF DN
ABHD14B DN
PCBP4 DN
PARP3 DN
RPL29 DN
RRP9 DN
NISCH DN
SEMA3G DN
ITIH3 DN
SELK DN
ARF4 DN
TFG DN
MAATS1 DN
ROPN1 DN
H1FX DN
H1FX-AS1 DN
HMCES DN
EFCAB12 DN
GRK7 DN
ATP1B3 DN
