GeneSymbol Status
C1orf21 DN
C1orf159 DN
KHDRBS1 DN
SFPQ DN
FAF1 DN
CLCA4 DN
DDAH1 DN
TNN DN
PTGS2 DN
CDK11B DN
RERE DN
PEX14 DN
CASZ1 DN
KAZN DN
ALPL DN
ECE1 DN
WASF2 DN
AHDC1 DN
RCC1 DN
SRSF4 DN
RNF19B DN
PHC2 DN
STK40 DN
YRDC DN
SNIP1 DN
RLF DN
TIE1 DN
TESK2 DN
SPATA6 DN
SSBP3 DN
C1orf168 DN
PGM1 DN
PDE4B DN
WLS DN
GIPC2 DN
ADGRL4 DN
BCAR3 DN
PALMD DN
CDC14A DN
KIAA1324 DN
KCNC4 DN
ATP1A1 DN
WARS2 DN
FMO5 DN
ENSA DN
TUFT1 DN
LMNA DN
PFDN2 DN
NOS1AP DN
RGS5 DN
ELF3 DN
CSRP1 DN
IRF6 DN
DUSP10 DN
TOMM20 DN
WASH7P DN
RNF223 DN
SCNN1D DN
DVL1 DN
MMP23B DN
CDK11A DN
LOC100129534 DN
PLCH2 DN
RPL22 DN
PHF13 DN
KLHL21 DN
THAP3 DN
ERRFI1 DN
TMEM201 DN
SLC25A33 DN
RBP7 DN
PGD DN
SRM DN
SLC25A34 DN
PLEKHM2 DN
UQCRHL DN
EPHA2 DN
NBL1 DN
ID3 DN
PITHD1 DN
PNRC2 DN
SRRM1 DN
RSRP1 DN
SEPN1 DN
CNKSR1 DN
ZNF593 DN
HMGN2 DN
SFN DN
FAM46B DN
TRNP1 DN
SLC9A1 DN
WDTC1 DN
CD164L2 DN
GPR3 DN
STX12 DN
SESN2 DN
SNHG12 DN
TINAGL1 DN
EIF3I DN
BSDC1 DN
FAM229A DN
KIAA1522 DN
TRIM62 DN
GJA4 DN
MAP7D1 DN
SH3D21 DN
ZC3H12A DN
MIR6732 DN
LINC01137 DN
DNALI1 DN
POU3F1 DN
FHL3 DN
PABPC4 DN
MFSD2A DN
CLDN19 DN
RPS8 DN
TCTEX1D4 DN
PLK3 DN
CCDC17 DN
ECHDC2 DN
PODN DN
MRPL37 DN
TACSTD2 DN
JUN DN
CYP2J2 DN
GADD45A DN
DIRAS3 DN
SRSF11 DN
GNG5 DN
CYR61 DN
LINC01140 DN
GBP2 DN
RPL5 DN
DNTTIP2 DN
F3 DN
CNN3 DN
AMY2B DN
PRPF38B DN
SARS DN
GSTM4 DN
AMPD2 DN
GSTM2 DN
GSTM5 DN
CSF1 DN
OVGP1 DN
OLFML3 DN
PHGDH DN
HMGCS2 DN
PIAS3 DN
MCL1 DN
PIP5K1A DN
NPR1 DN
RPS27 DN
CRTC2 DN
MUC1 DN
EFNA1 DN
YY1AP1 DN
KIAA0907 DN
SEMA4A DN
PMF1-BGLAP DN
CRABP2 DN
ACKR1 DN
B4GALT3 DN
C1orf226 DN
UAP1 DN
SLC19A2 DN
SELP DN
SELE DN
GAS5 DN
KIAA0040 DN
TOR1AIP1 DN
RGS16 DN
IVNS1ABP DN
BTG2 DN
FMOD DN
DYRK3 DN
MAPKAPK2 DN
PIGR DN
C4BPA DN
CD55 DN
MIR205HG DN
G0S2 DN
ATF3 DN
MARC2 DN
HLX DN
GTF2IP20 DN
EPHX1 DN
GJC2 DN
MAP1LC3C DN
AFF3 DN
PKP4 DN
HPCAL1 DN
TBC1D8 DN
TMEM163 DN
ERBB4 DN
CUL3 DN
TMBIM1 DN
SH3BP4 DN
HADHB DN
VIT DN
EPAS1 DN
EFEMP1 DN
PELI1 DN
PPP3R1 DN
ATP6V1B1 DN
TCF7L1 DN
EIF2AK3 DN
EIF5B DN
NPAS2 DN
LONRF2 DN
C2orf40 DN
FHL2 DN
SEPT10 DN
NPHP1 DN
TMEM185B DN
SAP130 DN
RAPGEF4 DN
NFE2L2 DN
INPP1 DN
FBXO36 DN
DGKD DN
MLPH DN
LRRFIP1 DN
FAM110C DN
GREB1 DN
RHOB DN
DNAJC27 DN
HADHA DN
MAPRE3 DN
ZNF513 DN
BRE-AS1 DN
FOSL2 DN
SPDYA DN
ZFP36L2 DN
GPR75 DN
MIR3682 DN
RTN4 DN
RPS27A DN
CFAP36 DN
LOC100507006 DN
SPRED2 DN
PNO1 DN
CNRIP1 DN
MXD1 DN
PCBP1 DN
RAB11FIP5 DN
INO80B DN
INO80B-WBP1 DN
C2orf81 DN
WBP1 DN
KCMF1 DN
RNF103 DN
LOC654342 DN
FAHD2CP DN
DUSP2 DN
ARID5A DN
KANSL3 DN
SEMA4C DN
RPL31 DN
IL1RL2 DN
IL1RL1 DN
SULT1C4 DN
SOWAHC DN
RABL2A DN
WASH2P DN
GYPC DN
LIMS2 DN
CCDC74B DN
POTEKP DN
CCDC74A DN
RND3 DN
TNFAIP6 DN
NR4A2 DN
DAPL1 DN
CD302 DN
NOSTRIN DN
BBS5 DN
CYBRD1 DN
DLX2 DN
