GeneSymbol Status
NECAP2 UP
AGBL4 UP
DBT UP
LIN9 UP
ICMT UP
MACF1 UP
CSMD2 UP
TCEANC2 UP
NTNG1 UP
KCNA2 UP
NBPF25P UP
NBPF10 UP
FCGR2A UP
MROH9 UP
RGSL1 UP
USH2A UP
DNAH14 UP
LINC00582 UP
MTR UP
KIF26B UP
DFFB UP
CCDC27 UP
KCNAB2 UP
C1orf127 UP
VPS13D UP
DNAJC16 UP
NBPF1 UP
PADI1 UP
ESPNP UP
ACTL8 UP
PAX7 UP
NIPAL3 UP
CSMD2-AS1 UP
ZSCAN20 UP
COL8A2 UP
NFYC-AS1 UP
RIMKLA UP
KDM4A-AS1 UP
KIF2C UP
ELAVL4 UP
LRP8 UP
ACOT11 UP
ATG4C UP
LINC00466 UP
IL23R UP
DEPDC1 UP
LRRC40 UP
MSH4 UP
ST6GALNAC5 UP
LOC101927560 UP
COL24A1 UP
LRRC8D UP
RPAP2 UP
CCDC18 UP
LOC101928118 UP
DPYD-AS1 UP
SNX7 UP
LOC100129620 UP
OLFM3 UP
COL11A1 UP
LINC01356 UP
SYCP1 UP
SLC22A15 UP
CD2 UP
PDE4DIP UP
NOTCH2NL UP
VPS45 UP
CTSS UP
CD5L UP
FCRL4 UP
FCRL6 UP
KCNJ10 UP
COPA UP
CD244 UP
NUF2 UP
LOC400794 UP
METTL11B UP
VAMP4 UP
LOC101928673 UP
DARS2 UP
SLC9C2 UP
LOC100506023 UP
RABGAP1L UP
TNR UP
AXDND1 UP
CACNA1E UP
RGS18 UP
GLRX2 UP
DENND1B UP
PTPRC UP
MIR181A1HG UP
CACNA1S UP
KIF14 UP
IPO9 UP
LEMD1 UP
SYT14 UP
CENPF UP
PROX1-AS1 UP
SRP9 UP
ZNF678 UP
TTC13 UP
TRIM67 UP
TBCE UP
RYR2 UP
WDR64 UP
ADSS UP
ZNF124 UP
FAM87B UP
CFAP74 UP
ACTRT2 UP
LINC01134 UP
LINC01346 UP
CHD5 UP
LOC102724539 UP
SLC2A5 UP
PIK3CD-AS1 UP
NMNAT1 UP
MTOR-AS1 UP
DRAXIN UP
AADACL3 UP
PRAMEF12 UP
PRAMEF1 UP
DDI2 UP
AGMAT UP
SPATA21 UP
CROCCP3 UP
TAS1R2 UP
PLA2G2D UP
VWA5B1 UP
CELA3A UP
EPHA8 UP
C1QC UP
C1QA UP
C1QB UP
IL22RA1 UP
GRHL3 UP
AUNIP UP
PDIK1L UP
LOC101928324 UP
IFI6 UP
SCARNA1 UP
THEMIS2 UP
XKR8 UP
PTAFR UP
SNORA73B UP
SNORA16A UP
RAB42 UP
RNU11 UP
LAPTM5 UP
SNORD85 UP
LINC01226 UP
ZBTB8B UP
HMGB4 UP
C1orf94 UP
C1orf216 UP
CLSPN UP
AGO1 UP
CDCA8 UP
KIAA0754 UP
NT5C1A UP
MYCL UP
ZFP69 UP
ZNF684 UP
EXO5 UP
RIMS3 UP
GUCA2A UP
SLC2A1-AS1 UP
MMACHC UP
IPP UP
RAD54L UP
TEX38 UP
EFCAB14-AS1 UP
FOXE3 UP
FOXD2-AS1 UP
LOC101929721 UP
BTF3L4 UP
COA7 UP
CPT2 UP
FAM151A UP
LEXM UP
PARS2 UP
BSND UP
C8A UP
LINC01359 UP
LOC101927139 UP
IL12RB2 UP
DEPDC1-AS1 UP
FPGT UP
LHX8 UP
SNORD45A UP
IFI44 UP
IFI44L UP
SPATA1 UP
SSX2IP UP
LINC01364 UP
GBP5 UP
CDC7 UP
BTBD8 UP
GLMN UP
GFI1 UP
RWDD3 UP
DPYD-AS2 UP
LPPR5 UP
FRRS1 UP
SLC35A3 UP
SASS6 UP
RTCA-AS1 UP
ACTG1P4 UP
PRMT6 UP
HENMT1 UP
SCARNA2 UP
PSRC1 UP
SORT1 UP
CYB561D1 UP
GPR61 UP
GNAT2 UP
MIR197 UP
EPS8L3 UP
SLC6A17 UP
PROK1 UP
CYMP UP
KCNA10 UP
LOC440602 UP
KCNA3 UP
CD53 UP
CHIAP2 UP
ADORA3 UP
FAM19A3 UP
LOC100996251 UP
PTPN22 UP
SIKE1 UP
NRAS UP
VANGL1 UP
LOC101928977 UP
MAB21L3 UP
LOC101929023 UP
REG4 UP
FCGR1B UP
EMBP1 UP
PPIAL4G UP
HFE2 UP
LOC101928979 UP
GNRHR2 UP
PRKAB2 UP
GJA8 UP
RNVU1-19 UP
FCGR1C UP
FCGR1A UP
HIST2H2AB UP
ANP32E UP
CA14 UP
ADAMTSL4-AS1 UP
HORMAD1 UP
GABPB2 UP
LYSMD1 UP
TNFAIP8L2 UP
MIR554 UP
CELF3 UP
TDRKH UP
MRPL9 UP
C2CD4D UP
RPTN UP
TCHHL1 UP
LOC100131107 UP
HRNR UP
CRNN UP
LCE3D UP
LCE1A UP
LCE6A UP
LCE1F UP
KPRP UP
SPRR1A UP
SPRR2F UP
SPRR2D UP
LOC101928009 UP
LELP1 UP
SPRR2C UP
PGLYRP3 UP
S100A9 UP
PGLYRP4 UP
S100A7A UP
S100A8 UP
S100A5 UP
ADAR UP
FLAD1 UP
DCST1 UP
CKS1B UP
RUSC1-AS1 UP
POU5F1P4 UP
ASH1L-AS1 UP
SNORA80E UP
SCARNA4 UP
TSACC UP
FCRL5 UP
