GeneSymbol	Status
RFWD2	UP
LIN9	UP
ICMT	UP
MACF1	UP
TCEANC2	UP
NTNG1	UP
KCNA2	UP
NBPF10	UP
MROH9	UP
DNAH14	UP
NUP133	UP
DFFB	UP
KCNAB2	UP
MTOR	UP
VPS13D	UP
DNAJC16	UP
NBPF1	UP
NFYC-AS1	UP
KIF2C	UP
ZYG11A	UP
NDC1	UP
LRP8	UP
ACOT11	UP
CYB5RL	UP
OMA1	UP
ATG4C	UP
IL23R	UP
SLC35D1	UP
DEPDC1	UP
LOC101927412	UP
TTLL7	UP
COL24A1	UP
LRRC8D	UP
RPAP2	UP
MTF2	UP
CCDC18	UP
DPYD-AS1	UP
COL11A1	UP
MAGI3	UP
LRIG2	UP
SYT6	UP
SLC22A15	UP
CD2	UP
PDE4DIP	UP
NOTCH2NL	UP
CTSS	UP
FCRL4	UP
CD244	UP
NUF2	UP
VAMP4	UP
LOC101928673	UP
RC3H1	UP
DARS2	UP
LOC100506023	UP
RABGAP1L	UP
TNR	UP
SWT1	UP
MIR548F1	UP
RGS18	UP
DENND1B	UP
PTPRC	UP
MIR181A1HG	UP
KIF14	UP
IPO9	UP
LPGAT1	UP
RPS6KC1	UP
CENPF	UP
GPATCH2	UP
RAB3GAP2	UP
SRP9	UP
ZNF678	UP
COG2	UP
TTC13	UP
KMO	UP
WDR64	UP
ADSS	UP
C1orf101	UP
ZNF124	UP
ZNF670-ZNF695	UP
FAM87B	UP
SNORD128	UP
SLC2A5	UP
PIK3CD-AS1	UP
APITD1	UP
MTOR-AS1	UP
C1orf195	UP
DDI2	UP
AGMAT	UP
RSC1A1	UP
CROCCP3	UP
PLA2G2D	UP
MIR1256	UP
C1QC	UP
C1QA	UP
C1QB	UP
FUCA1	UP
GRHL3	UP
AUNIP	UP
PDIK1L	UP
CD52	UP
SCARNA1	UP
THEMIS2	UP
PTAFR	UP
SNORA73B	UP
SNORA61	UP
SNORA44	UP
SNORA16A	UP
RAB42	UP
RNU11	UP
LAPTM5	UP
SNORD85	UP
CLSPN	UP
AGO1	UP
CDCA8	UP
KIAA0754	UP
SNORA55	UP
MYCL	UP
ZMPSTE24	UP
ZFP69	UP
ZNF684	UP
EXO5	UP
ZFP69B	UP
SNORD46	UP
SNORD55	UP
MMACHC	UP
RPS15AP10	UP
IPP	UP
MKNK1-AS1	UP
EFCAB14-AS1	UP
BTF3L4	UP
CPT2	UP
PARS2	UP
NFIA-AS1	UP
ANGPTL3	UP
ALG6	UP
DLEU2L	UP
LINC01359	UP
