GeneSymbol	Status
C1orf159	DN
CAMTA1	DN
KHDRBS1	DN
SFPQ	DN
FAF1	DN
CACHD1	DN
CLCA4	DN
PTGS2	DN
BATF3	DN
CDK11B	DN
FAM132A	DN
PLEKHG5	DN
RERE	DN
PEX14	DN
KAZN	DN
TMEM51-AS1	DN
PADI2	DN
IFFO2	DN
TMCO4	DN
ALPL	DN
ECE1	DN
LDLRAD2	DN
SH3BGRL3	DN
WASF2	DN
AHDC1	DN
RCC1	DN
SRSF4	DN
RNF19B	DN
PHC2	DN
STK40	DN
SNIP1	DN
RRAGC	DN
RLF	DN
TIE1	DN
SSBP3	DN
PGM1	DN
PDE4B	DN
WLS	DN
GIPC2	DN
ADGRL4	DN
PALMD	DN
GSTM1	DN
KCNC4	DN
DENND2C	DN
CASQ2	DN
ATP1A1	DN
WARS2	DN
ENSA	DN
TUFT1	DN
IL6R	DN
LMNA	DN
IFI16	DN
PFDN2	DN
FMO2	DN
NMNAT2	DN
PLA2G4A	DN
LGR6	DN
ELF3	DN
CSRP1	DN
YOD1	DN
IRF6	DN
PROX1	DN
MARK1	DN
DUSP10	DN
TP53BP2	DN
RHOU	DN
TOMM20	DN
RNF223	DN
SCNN1D	DN
DVL1	DN
ATAD3B	DN
MIB2	DN
MMP23B	DN
CDK11A	DN
PLCH2	DN
RPL22	DN
TNFRSF25	DN
PHF13	DN
KLHL21	DN
ERRFI1	DN
CA6	DN
ENO1	DN
SPSB1	DN
TMEM201	DN
SLC25A33	DN
PIK3CD-AS2	DN
RBP7	DN
PGD	DN
SRM	DN
TMEM51	DN
EFHD2	DN
SLC25A34	DN
PLEKHM2	DN
UQCRHL	DN
EPHA2	DN
KIF17	DN
ID3	DN
RPL11	DN
PITHD1	DN
SRRM1	DN
RSRP1	DN
SEPN1	DN
CNKSR1	DN
ZNF593	DN
HMGN2	DN
SFN	DN
FAM46B	DN
TRNP1	DN
SLC9A1	DN
WDTC1	DN
MAP3K6	DN
CD164L2	DN
GPR3	DN
SESN2	DN
SNHG12	DN
TINAGL1	DN
EIF3I	DN
FAM167B	DN
FAM229A	DN
KIAA1522	DN
YARS	DN
GJB3	DN
GJA4	DN
MAP7D1	DN
SH3D21	DN
ZC3H12A	DN
MIR6732	DN
POU3F1	DN
FHL3	DN
PABPC4	DN
OXCT2P1	DN
MFSD2A	DN
CLDN19	DN
YBX1	DN
SNORD38B	DN
BTBD19	DN
RPS8	DN
PLK3	DN
NASP	DN
CCDC17	DN
BEND5	DN
ECHDC2	DN
MAGOH	DN
MRPL37	DN
LOC100507634	DN
TACSTD2	DN
JUN	DN
GADD45A	DN
SRSF11	DN
HHLA3	DN
GNG5	DN
CYR61	DN
LMO4	DN
GTF2B	DN
GBP2	DN
FLJ27354	DN
RPL5	DN
DNTTIP2	DN
F3	DN
CNN3	DN
LOC100996635	DN
PRPF38B	DN
SARS	DN
AMPD2	DN
GSTM2	DN
GSTM5	DN
CSF1	DN
CHI3L2	DN
OVGP1	DN
SLC16A1	DN
OLFML3	DN
PHGDH	DN
HMGCS2	DN
HIST2H2BA	DN
ITGA10	DN
ANKRD35	DN
SF3B4	DN
PLEKHO1	DN
MCL1	DN
ADAMTSL4	DN
PIP5K1A	DN
S100A10	DN
TCHH	DN
S100A2	DN
S100A6	DN
ILF2	DN
NPR1	DN
RPS27	DN
CRTC2	DN
UBAP2L	DN
SHC1	DN
MUC1	DN
EFNA1	DN
FAM189B	DN
YY1AP1	DN
KIAA0907	DN
SEMA4A	DN
PMF1-BGLAP	DN
GLMP	DN
MEF2D	DN
GPATCH4	DN
CRABP2	DN
NES	DN
ACKR1	DN
TAGLN2	DN
VANGL2	DN
F11R	DN
B4GALT3	DN
ADAMTS4	DN
DEDD	DN
PCP4L1	DN
UAP1	DN
MPZL1	DN
XCL1	DN
SELP	DN
SELE	DN
MYOC	DN
PRDX6	DN
GAS5	DN
KIAA0040	DN
RGS16	DN
LAMC2	DN
IVNS1ABP	DN
RGS2	DN
PKP1	DN
LAD1	DN
LMOD1	DN
PCAT6	DN
CHI3L1	DN
BTG2	DN
FMOD	DN
TMCC2	DN
CDK18	DN
LOC284578	DN
SLC41A1	DN
DYRK3	DN
MAPKAPK2	DN
PIGR	DN
C4BPA	DN
CD55	DN
MIR205HG	DN
LAMB3	DN
G0S2	DN
ATF3	DN
HLX	DN
EPHX1	DN
GJC2	DN
C1orf198	DN
IRF2BP2	DN
GREM2	DN
MAP1LC3C	DN
FAM49A	DN
SNTG2	DN
HPCAL1	DN
TBC1D8	DN
IL1R1	DN
TMEM163	DN
TMBIM1	DN
HDLBP	DN
COLEC11	DN
ATP6V1C2	DN
DTNB	DN
VIT	DN
CDC42EP3	DN
EPAS1	DN
LOC101927043	DN
