GeneSymbol	Status
AGBL4	UP
DBT	UP
LIN9	UP
ICMT	UP
MACF1	UP
CSMD2	UP
TCEANC2	UP
NTNG1	UP
KCNA2	UP
NBPF10	UP
NBPF20	UP
FCGR2A	UP
PBX1	UP
MROH9	UP
RGSL1	UP
HHAT	UP
USH2A	UP
DNAH14	UP
RNU5F-1	UP
LINC00582	UP
LOC100130331	UP
KIF26B	UP
OR14C36	UP
TTC34	UP
DFFB	UP
CCDC27	UP
KCNAB2	UP
C1orf127	UP
MTOR	UP
VPS13D	UP
AADACL4	UP
DNAJC16	UP
PADI1	UP
ACTL8	UP
PAX7	UP
LINC01141	UP
NIPAL3	UP
LIN28A	UP
SYNC	UP
CSMD2-AS1	UP
ZSCAN20	UP
NFYC-AS1	UP
RIMKLA	UP
CFAP57	UP
KDM4A-AS1	UP
KIF2C	UP
ELAVL4	UP
HSPB11	UP
ACOT11	UP
CYB5RL	UP
OMA1	UP
ATG4C	UP
LINC00466	UP
WDR78	UP
SLC35D1	UP
PIN1P1	UP
LINC01360	UP
LRRIQ3	UP
MSH4	UP
MIR548AP	UP
COL24A1	UP
LOC101927844	UP
RPAP2	UP
CCDC18	UP
LOC101928241	UP
SNX7	UP
LOC100129620	UP
LOC729987	UP
OLFM3	UP
COL11A1	UP
VAV3-AS1	UP
MAGI3	UP
LINC01356	UP
SYT6	UP
SLC22A15	UP
CD2	UP
LINC00869	UP
PDE4DIP	UP
NOTCH2NL	UP
LINC00624	UP
CTSS	UP
CD5L	UP
FCRL4	UP
FCRL6	UP
KCNJ10	UP
CD244	UP
LOC400794	UP
LINC00970	UP
METTL11B	UP
VAMP4	UP
LOC101928673	UP
DARS2	UP
LOC100506023	UP
RABGAP1L	UP
TNR	UP
AXDND1	UP
TDRD5	UP
LHX4	UP
CACNA1E	UP
RGS18	UP
GLRX2	UP
CRB1	UP
DENND1B	UP
PTPRC	UP
MIR181A1HG	UP
CACNA1S	UP
KIF14	UP
IPO9	UP
KCNH1	UP
RPS6KC1	UP
CENPF	UP
PROX1-AS1	UP
GPATCH2	UP
SRP9	UP
ZNF678	UP
TTC13	UP
TRIM67	UP
WDR64	UP
LOC339529	UP
C1orf101	UP
ZNF124	UP
FAM87B	UP
CFAP74	UP
ACTRT2	UP
TP73	UP
LINC01134	UP
LOC284661	UP
CHD5	UP
LINC00337	UP
UTS2	UP
LOC102724539	UP
SNORD128	UP
SLC2A7	UP
PIK3CD-AS1	UP
NMNAT1	UP
RNU6-2	UP
APITD1	UP
MTOR-AS1	UP
AADACL3	UP
C1orf158	UP
PRAMEF12	UP
PRAMEF1	UP
PRAMEF11	UP
HNRNPCL2	UP
DDI2	UP
AGMAT	UP
RSC1A1	UP
TMEM82	UP
SPATA21	UP
CROCCP3	UP
FAM231B	UP
PADI6	UP
LOC101927876	UP
TAS1R2	UP
PLA2G2E	UP
PLA2G2D	UP
PLA2G2F	UP
VWA5B1	UP
